,,30-Jun-14 (1),,,30-Jun-15,,,30-Jun-16,,,30-Jun-17,,,30-Jun-18,,,,,,,,,
All Ages,,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,
,  Total (all),"24,361","22,994","1,367","25,075","23,704","1,371","25,189","23,767","1,422","25,894","24,430","1,464","25,310","23,868","1,442",,,,,,,
Age Range,40-49,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,"11,579","10,926",653,"11,950","11,297",653,"11,905","11,229",676,"11,932","11,195",737,"11,391","10,710",681,,,,,,,
,Black,"1,778","1,700",78,"1,703","1,624",79,"1,570","1,505",65,"1,515","1,448",67,"1,397","1,326",71,,,,,,,
,Asian(1),951,919,32,"1,108","1,067",41,"1,157","1,122",35,"1,234","1,193",41,"1,176","1,134",42,,,,,,,
,Mixed,367,342,25,382,357,25,408,380,28,403,373,30,393,372,21,,,,,,,
,Other ethnic group (1),184,165,19,115,103,12,137,126,11,164,156,8,185,178,7,,,,,,,
,Total known,"14,859","14,052",807,"15,258","14,448",810,"15,177","14,362",815,"15,248","14,365",883,"14,542","13,720",822,,,,,,,
, Not stated/ Unknown (2),158,148,10,123,112,11,106,103,3,106,104,2,89,84,5,,,,,,,
,  Total (all),"15,017","14,200",817,"15,381","14,560",821,"15,283","14,465",818,"15,354","14,469",885,"14,631","13,804",827,,,,,,,
Age Range,50-59,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,"5,928","5,656",272,"6,367","6,063",304,"6,700","6,386",314,"6,931","6,581",350,"6,974","6,621",353,,,,,,,
,Black,813,778,35,847,808,39,899,856,43,909,869,40,898,869,29,,,,,,,
,Asian(1),320,310,10,395,377,18,393,377,16,416,400,16,409,388,21,,,,,,,
,Mixed,114,101,13,149,135,14,141,138,3,183,173,10,187,180,7,,,,,,,
,Other ethnic group (1),79,73,6,53,52,1,65,63,2,67,65,2,82,79,3,,,,,,,
,Total known,"7,254","6,918",336,"7,811","7,435",376,"8,198","7,820",378,"8,506","8,088",418,"8,550","8,137",413,,,,,,,
, Not stated/ Unknown (2),106,101,5,60,54,6,52,50,2,58,57,1,57,57,0,,,,,,,
,  Total (all),"7,360","7,019",341,"7,871","7,489",382,"8,250","7,870",380,"8,564","8,145",419,"8,607","8,194",413,,,,,,,
Age Range,60-69,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,"2,441","2,364",77,"2,610","2,534",76,"2,747","2,658",89,"2,875","2,789",86,"2,961","2,882",79,,,,,,,
,Black,104,99,5,109,106,3,118,114,4,140,133,7,167,163,4,,,,,,,
,Asian(1),95,90,5,109,103,6,124,122,2,127,123,4,141,137,4,,,,,,,
,Mixed,15,15,0,19,17,2,19,17,2,20,18,2,22,20,2,,,,,,,
,Other ethnic group (1),14,14,0,15,14,1,24,23,1,26,25,1,21,21,0,,,,,,,
,Total known,"2,669","2,582",87,"2,862","2,774",88,"3,032","2,934",98,"3,188","3,088",100,"3,312","3,223",89,,,,,,,
, Not stated/ Unknown (2),23,21,2,16,14,2,19,18,1,25,25,0,16,16,0,,,,,,,
,  Total (all),"2,692","2,603",89,"2,878","2,788",90,"3,051","2,952",99,"3,213","3,113",100,"3,328","3,239",89,,,,,,,
Age Range,70 and over,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,949,943,6,"1,152","1,143",9,"1,318","1,304",14,"1,509","1,498",11,"1,585","1,569",16,,,,,,,
,Black,28,28,0,30,29,1,37,37,0,40,39,1,43,42,1,,,,,,,
,Asian(1),27,26,1,30,28,2,32,29,3,30,29,1,31,28,3,,,,,,,
,Mixed,8,8,0,9,9,0,9,9,0,9,9,0,8,7,1,,,,,,,
,Other ethnic group (1),4,4,0,5,5,0,5,4,1,5,4,1,8,8,0,,,,,,,
,Total known,"1,016","1,009",7,"1,226","1,214",12,"1,401","1,383",18,"1,593","1,579",14,"1,675","1,654",21,,,,,,,
, Not stated/ Unknown (2),12,12,0,5,5,0,8,8,0,6,6,0,6,6,0,,,,,,,
,  Total (all),"1,028","1,021",7,"1,231","1,219",12,"1,409","1,391",18,"1,599","1,585",14,"1,681","1,660",21,,,,,,,
